parameter_id,trial_id,true_ate,trt_change,shift
1,1,-0.21156000000000003,Constant,Flexible Covariate Shift
1,2,-0.21156000000000003,Constant,Flexible Covariate Shift
1,3,-0.21156000000000003,Constant,Flexible Covariate Shift
1,4,-0.21156000000000003,Constant,Flexible Covariate Shift
1,5,-0.21156000000000003,Constant,Flexible Covariate Shift
1,6,-0.21156000000000003,Constant,Flexible Covariate Shift
1,7,-0.21156000000000003,Constant,Flexible Covariate Shift
1,8,-0.21156000000000003,Constant,Flexible Covariate Shift
1,9,-0.21156000000000003,Constant,Flexible Covariate Shift
1,10,-0.21156000000000003,Constant,Flexible Covariate Shift
1,11,-0.21156000000000003,Constant,Flexible Covariate Shift
1,12,-0.21156000000000003,Constant,Flexible Covariate Shift
1,13,-0.21156000000000003,Constant,Flexible Covariate Shift
1,14,-0.21156000000000003,Constant,Flexible Covariate Shift
1,15,-0.21156000000000003,Constant,Flexible Covariate Shift
1,16,-0.21156000000000003,Constant,Flexible Covariate Shift
1,17,-0.21156000000000003,Constant,Flexible Covariate Shift
1,18,-0.21156000000000003,Constant,Flexible Covariate Shift
1,19,-0.21156000000000003,Constant,Flexible Covariate Shift
1,20,-0.21156000000000003,Constant,Flexible Covariate Shift
1,21,-0.21156000000000003,Constant,Flexible Covariate Shift
1,22,-0.21156000000000003,Constant,Flexible Covariate Shift
1,23,-0.21156000000000003,Constant,Flexible Covariate Shift
1,24,-0.21156000000000003,Constant,Flexible Covariate Shift
1,25,-0.21156000000000003,Constant,Flexible Covariate Shift
1,26,-0.21156000000000003,Constant,Flexible Covariate Shift
1,27,-0.21156000000000003,Constant,Flexible Covariate Shift
1,28,-0.21156000000000003,Constant,Flexible Covariate Shift
1,29,-0.21156000000000003,Constant,Flexible Covariate Shift
1,30,-0.21156000000000003,Constant,Flexible Covariate Shift
1,31,-0.21156000000000003,Constant,Flexible Covariate Shift
1,32,-0.21156000000000003,Constant,Flexible Covariate Shift
1,33,-0.21156000000000003,Constant,Flexible Covariate Shift
1,34,-0.21156000000000003,Constant,Flexible Covariate Shift
1,35,-0.21156000000000003,Constant,Flexible Covariate Shift
1,36,-0.21156000000000003,Constant,Flexible Covariate Shift
2,1,-0.21156000000000003,Constant,Linear Covariate Shift
2,2,-0.21156000000000003,Constant,Linear Covariate Shift
2,3,-0.21156000000000003,Constant,Linear Covariate Shift
2,4,-0.21156000000000003,Constant,Linear Covariate Shift
2,5,-0.21156000000000003,Constant,Linear Covariate Shift
2,6,-0.21156000000000003,Constant,Linear Covariate Shift
2,7,-0.21156000000000003,Constant,Linear Covariate Shift
2,8,-0.21156000000000003,Constant,Linear Covariate Shift
2,9,-0.21156000000000003,Constant,Linear Covariate Shift
2,10,-0.21156000000000003,Constant,Linear Covariate Shift
2,11,-0.21156000000000003,Constant,Linear Covariate Shift
2,12,-0.21156000000000003,Constant,Linear Covariate Shift
2,13,-0.21156000000000003,Constant,Linear Covariate Shift
2,14,-0.21156000000000003,Constant,Linear Covariate Shift
2,15,-0.21156000000000003,Constant,Linear Covariate Shift
2,16,-0.21156000000000003,Constant,Linear Covariate Shift
2,17,-0.21156000000000003,Constant,Linear Covariate Shift
2,18,-0.21156000000000003,Constant,Linear Covariate Shift
2,19,-0.21156000000000003,Constant,Linear Covariate Shift
2,20,-0.21156000000000003,Constant,Linear Covariate Shift
