trial_id,estimator,shift,trt_change,gamma2_m,sigma2_m,sigma_ratio,sigma2_ratio
2,chi_gformula,No Covariate Shift,Constant,0,0,0,0
2,chi_gformula,No Covariate Shift,Effect Modification,0,0,0,0
2,chi_gformula,No Covariate Shift,Linear,0,3.9102857142857164e-4,1,1
2,chi_gformula,No Covariate Shift,Linear + Effect Modification,0,3.910285714285724e-4,1,1
2,chi_gformula,No Covariate Shift,Spline,0,4.987346668587191e-4,1,1
2,chi_gformula,No Covariate Shift,Spline + Effect Modification,0,4.987346668587217e-4,1,1
3,chi_DR,Flexible Covariate Shift,Constant,1.1173956897150644e-22,0,0,0
3,chi_DR,Flexible Covariate Shift,Effect Modification,0.0013660792119609977,0,0,0
3,chi_DR,Flexible Covariate Shift,Linear,3.529776464779314e-4,1.8147352893791544e-6,0.05725043984993289,0.005106500704101524
3,chi_DR,Flexible Covariate Shift,Linear + Effect Modification,0.002864369604578938,2.249373699249694e-8,0.0021977034082601102,7.863517334592109e-6
3,chi_DR,Flexible Covariate Shift,Spline,3.732080696264335e-4,8.899614146081601e-7,0.041204631151828375,0.0023484201598029846
3,chi_DR,Flexible Covariate Shift,Spline + Effect Modification,0.0031059860782919925,2.334913178471423e-8,0.0024498077743464464,7.536824349726742e-6
3,chi_DR,Linear Covariate Shift,Constant,1.0795239133971742e-22,0,0,0
3,chi_DR,Linear Covariate Shift,Effect Modification,2.141655411397701e-4,0,0,0
3,chi_DR,Linear Covariate Shift,Linear,3.6164580190365135e-4,6.827912922090281e-7,0.03131082664187843,0.0018882257069374325
3,chi_DR,Linear Covariate Shift,Linear + Effect Modification,1.8073671201944025e-5,1.910390718187925e-8,0.026509379616841494,0.0010247240193628827
3,chi_DR,Linear Covariate Shift,Spline,3.7151011369919716e-4,8.634650717732686e-7,0.029338975881449566,0.0022803981758594827
3,chi_DR,Linear Covariate Shift,Spline + Effect Modification,6.927653697095241e-5,2.5941231557532387e-8,0.015627391156780395,3.736025252787481e-4
3,chi_DR,No Covariate Shift,Constant,1.3161192402345696e-22,0,0,0
3,chi_DR,No Covariate Shift,Effect Modification,1.2656648799842344e-22,0,0,0
3,chi_DR,No Covariate Shift,Linear,3.5812514017986207e-4,1.018639033658969e-6,0.04356822806320007,0.002807350978743879
3,chi_DR,No Covariate Shift,Linear + Effect Modification,3.58154661395235e-4,6.984646732656068e-7,0.03506253095923957,0.0019392426295057649
3,chi_DR,No Covariate Shift,Spline,3.723651652437053e-4,2.0188286297289e-6,0.0573719491520133,0.005370697557112404
3,chi_DR,No Covariate Shift,Spline + Effect Modification,3.719398613937992e-4,1.1468332026602653e-6,0.04301014090515377,0.003087067494649754
3,chi_DRj,Flexible Covariate Shift,Constant,1.1173956897150644e-22,0,0,0
3,chi_DRj,Flexible Covariate Shift,Effect Modification,0.0013660792119609977,0,0,0
3,chi_DRj,Flexible Covariate Shift,Linear,1.0275551453446975e-22,3.5811428571428576e-4,0.9999999994940839,1
3,chi_DRj,Flexible Covariate Shift,Linear + Effect Modification,0.0013480032240802261,3.5811428571428663e-4,0.3401273898484721,0.20991692664612197
3,chi_DRj,Flexible Covariate Shift,Spline,1.173107788220844e-22,3.731716749843205e-4,0.9999999994620306,1
3,chi_DRj,Flexible Covariate Shift,Spline + Effect Modification,0.001360477969569103,3.731716749843219e-4,0.34372822705286876,0.21527625285099602
